Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
6. RSVP Booking Flow,Chrome 147.0.7727.102,,,28-04-2026 10:16:48,28-04-2026 10:22:03,5m - 14.780s,PASSED
,,,,,,,
Test Cases/6. RSVP Booking Flow/TC15 - RSVP Booking Event Flow Offline,Chrome 147.0.7727.102,,,28-04-2026 10:16:48,28-04-2026 10:19:35,2m - 47.516s,PASSED
"testData = [""url"":""https://marq.iscriptsdemo.com/login"", ""email"":""success.test@yopmail.com"", ""pass"":""Test@123"", ""prompt"":""Create a RSVP-Based Booking Test Event"", ... ]",Chrome 147.0.7727.102,,,28-04-2026 10:16:49,28-04-2026 10:16:49,0.004s,PASSED
openBrowser(url),Chrome 147.0.7727.102,,,28-04-2026 10:16:49,28-04-2026 10:16:56,7.813s,PASSED
maximizeWindow(),Chrome 147.0.7727.102,,,28-04-2026 10:16:56,28-04-2026 10:16:56,0.162s,PASSED
"setText(findTestObject(""Page_marQ - Event Management/Logout/input_Enter Your Email Address""), email)",Chrome 147.0.7727.102,,,28-04-2026 10:16:56,28-04-2026 10:17:00,3.276s,PASSED
"setText(findTestObject(""Page_marQ - Event Management/Logout/input_Enter Your Password""), pass)",Chrome 147.0.7727.102,,,28-04-2026 10:17:00,28-04-2026 10:17:01,0.869s,PASSED
"click(findTestObject(""Page_marQ - Event Management/Logout/input_logIn_loginbtn_LnnFD""))",Chrome 147.0.7727.102,,,28-04-2026 10:17:01,28-04-2026 10:17:01,0.447s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/Page_marQ - Event Management/Seat Booking Flow/AI Event Flow/button_Create Event""), 30)",Chrome 147.0.7727.102,,,28-04-2026 10:17:01,28-04-2026 10:17:16,15.031s,PASSED
"click(findTestObject(""Object Repository/Page_marQ - Event Management/Seat Booking Flow/AI Event Flow/button_Create Event""))",Chrome 147.0.7727.102,,,28-04-2026 10:17:16,28-04-2026 10:17:26,9.633s,PASSED
"setText(findTestObject(""Object Repository/Page_marQ - Event Management/Seat Booking Flow/AI Event Flow/textarea_AI_eventPrompt""), prompt)",Chrome 147.0.7727.102,,,28-04-2026 10:17:26,28-04-2026 10:17:28,2.686s,PASSED
"click(findTestObject(""Object Repository/Page_marQ - Event Management/Seat Booking Flow/AI Event Flow/button_Generate Setup""))",Chrome 147.0.7727.102,,,28-04-2026 10:17:28,28-04-2026 10:17:29,0.707s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_marQ - Event Management/Seat Booking Flow/AI Event Flow/button_Continue to Event Setup""), 30)",Chrome 147.0.7727.102,,,28-04-2026 10:17:29,28-04-2026 10:17:40,10.604s,PASSED
"click(findTestObject(""Object Repository/Page_marQ - Event Management/Seat Booking Flow/AI Event Flow/button_Continue to Event Setup""))",Chrome 147.0.7727.102,,,28-04-2026 10:17:40,28-04-2026 10:17:40,0.421s,PASSED
"click(findTestObject(""Object Repository/Page_marQ - Event Management/Seat Booking Flow/AI Event Flow/button_Continue to Event Setup_Draft""))",Chrome 147.0.7727.102,,,28-04-2026 10:17:40,28-04-2026 10:17:43,3.202s,PASSED
"click(findTestObject(""Object Repository/Page_marQ - Event Management/RSVP Booking Flow/button_EventCategory_rsvpEvent""))",Chrome 147.0.7727.102,,,28-04-2026 10:17:43,28-04-2026 10:17:47,3.478s,PASSED
"click(findTestObject(""Object Repository/Page_marQ - Event Management/Seat Booking Flow/Event Category and Basics/button_Save draft  Continue""))",Chrome 147.0.7727.102,,,28-04-2026 10:17:47,28-04-2026 10:17:47,0.419s,PASSED
"setText(findTestObject(""Object Repository/Page_marQ - Event Management/Seat Booking Flow/Event Category and Basics/input_Event Basics_eventName""), eventName)",Chrome 147.0.7727.102,,,28-04-2026 10:17:47,28-04-2026 10:17:56,9.094s,PASSED
